Software, Price, Link
Windows 10 Pro 64-bit - OEM,$145.99 ,https://www.newegg.com/microsoft-windows-10-pro-64-bit/p/N82E16832588491?Item=N82E16832588491
AVG Ultimate [Security/ Privacy and Performance] 2020/ 5 Devices 1 Year [Key Card],$34.99 ,https://www.newegg.com/avg-ultimate-2020-5-devices-1-year/p/N82E16832620252?Item=N82E16832620252
Acronis True Image 2019 - 3 Computer,$39.99 ,https://www.newegg.com/acronis-true-image-2019-3-computer/p/N82E16832200150?Item=N82E16832200150
Windows 10 Home - 64-bit - OEM,$104.99 ,https://www.newegg.com/microsoft-windows-10-home-64-bit/p/N82E16832416892?Item=N82E16832416892
Windows Server 2016 Standard - 16 Core (P73-07113) - OEM,$699.99 ,https://www.newegg.com/microsoft-windows-server-standard-2016-16-core-oem/p/1B4-003A-00062?Item=1B4-003A-00062
Avast Ultimate Suite [Security/ Cleanup and VPN] 2020/ 5 Devices 1 Year [Key Card],$69.99 ,https://www.newegg.com/avast-ultimate-2020-5-devices-1-year/p/N82E16832870076?Item=N82E16832870076
Malwarebytes Anti-Malware 3.0 - 3 PCs / 1 Year (Key Card),$39.99 ,https://www.newegg.com/malwarebytes-anti-malware-3-0-3-pcs-1-year/p/N82E16832562182?Item=N82E16832562182
Windows 10 Pro 64-Bit Installation / Recovery Disc Only - No License Key Included,$9.99 ,https://www.newegg.com/microsoft-windows-10-pro-64-bit-reinstall-recovery-disc-only-no-license-key-included/p/N82E16832350238?Item=N82E16832350238
Norton 360 Deluxe [Online Protection/ VPN/ 50GB Cloud Backup & Dark Web Monitor] 5 Devices - 1 Year - Key Card,$39.99 ,https://www.newegg.com/symantec-norton-360-deluxe-5-device/p/N82E16832377990?Item=N82E16832377990
AVG Internet Security 2020/ 5 Devices 1 Year [Key Card],$49.99 ,https://www.newegg.com/avg-internet-security-5-multi-devices-1-year/p/N82E16832620249?Item=N82E16832620249
Microsoft Office Home and Student 2019 | 1 device/ Windows 10 PC/Mac Key Card,$149.99 ,https://www.newegg.com/microsoft-office-home-and-student-2019-1-pc-mac/p/N82E16832011397?Item=N82E16832011397
Adobe Acrobat Standard 2017 for Windows,$299.00 ,https://www.newegg.com/adobe-acrobat-2017-for-windows/p/N82E16832505479?Item=N82E16832505479
Windows Server Standard 2019 - Base License (16-Core) - OEM,$779.99 ,https://www.newegg.com/microsoft-windows-server-standard-2019-64-bit-16-core/p/N82E16832011549?Item=N82E16832011549
Windows 10 Home 64-Bit Installation / Recovery Disc Only - No License Key Included,$9.99 ,https://www.newegg.com/microsoft-windows-10-home-64-bit-installation-recovery-disc-only-no-license-key-included/p/N82E16832350237?Item=N82E16832350237
Windows Server 2019 Essential 64-bit - 1 Server/ 2 CPU - OEM,$369.99 ,https://www.newegg.com/microsoft-windows-server-essential-2019-64-bit/p/N82E16832011548?Item=N82E16832011548
Intuit QuickBooks Desktop Pro 2019,$279.99 ,https://www.newegg.com/intuit-quickbooks-desktop-pro-2019/p/N82E16832109906?Item=N82E16832109906
LibreOffice,Free,https://www.libreoffice.org/download/download/
Revo Uninstaller Pro,$39.25 ,http://www.revouninstaller.com/revo_uninstaller_free_download.html
Microsoft Office 365,$99.99/year,https://www.microsoftstore.com/store/msusa/en_US/cat/Office-365/categoryID.68021500
FL Studio Groove,$11.99 ,https://www.microsoft.com/en-gb/store/p/fl-studio-groove/9wzdncrdqg4b
Adobe Creative Cloud,$79.99/Month,http://clk.tradedoubler.com/click?p(264355)a(2945360)g(22804962)url(https://creative.adobe.com/promo/makeuseofCCI)
DisplayFusion,$25 ,https://www.displayfusion.com/
WolframAlpha,$2.99 ,https://www.microsoft.com/en-us/store/p/wolframalpha/9wzdncrdmzkp
Total Commander,$42 ,https://www.ghisler.com/index.htm
Enpass,$9.99 ,https://www.microsoft.com/en-us/store/p/enpass/9wzdncrdfqjs
Dropbox,$99.99/Year,https://www.dropbox.com
HEVC Video Extensions,$0.99 ,https://www.microsoft.com/en-us/p/hevc-video-extensions/9nmzlz57r3t7?cid=msft_web_chart
HD Movie Maker - PRO,$9.99 ,https://www.microsoft.com/en-us/p/hd-movie-maker-pro/9n9kbwp6hvqq?cid=msft_web_chart
Windows DVD Player,$14.99 ,https://www.microsoft.com/en-us/p/windows-dvd-player/9nblggh2j19w?cid=msft_web_chart
Drawboard PDF,$11.99 ,https://www.microsoft.com/en-us/p/drawboard-pdf/9wzdncrfhwqt?cid=msft_web_chart
Penbook,$9.99 ,https://www.microsoft.com/en-us/p/penbook/9pl4gx47gt7k?cid=msft_web_chart
HEIC Image Converter Tool,$1.99 ,https://www.microsoft.com/en-us/p/heic-image-converter-tool/9p5mg60344hv?cid=msft_web_chart
Reader for Kindle,$3.99 ,https://www.microsoft.com/en-us/p/reader-for-kindle/9plqtb3wmn1t?cid=msft_web_chart
Reader for Kindle Books,$3.99 ,https://www.microsoft.com/en-us/p/reader-for-kindle-books/9mxqdz2dtshv?cid=msft_web_chart
paint.net,$6.99 ,https://www.microsoft.com/en-us/p/paintnet/9nbhcs1lx4r0?cid=msft_web_chart
Adobe Photoshop Elements 2019,$99.99 ,https://www.microsoft.com/en-us/p/adobe-photoshop-elements-2019/9nv7pvn0zxv6?cid=msft_web_chart
Audacity 2,$0.99 ,https://www.microsoft.com/en-us/p/audacity-2/9pn9v7pnm9hv?cid=msft_web_chart
Play for Amazon Prime Video.,$14.99 ,https://www.microsoft.com/en-us/p/play-for-amazon-prime-video/9np4zmgjlhpg?cid=msft_web_chart
Krita,$9.79 ,https://www.microsoft.com/en-us/p/krita/9n6x57zgrw96?cid=msft_web_chart
FL Studio Mobile,$14.99 ,https://www.microsoft.com/en-us/p/fl-studio-mobile/9nblggh1zjcr?cid=msft_web_chart
Photos for Google Photos.,$2.99 ,https://www.microsoft.com/en-us/p/photos-for-google-photos/9mzlw30kkq29?cid=msft_web_chart
Nebulas in 4K,$0.99 ,https://www.microsoft.com/en-us/p/nebulas-in-4k/9n4f3s6nlv5v?cid=msft_web_chart
Player for DVD's,$5.99 ,https://www.microsoft.com/en-us/p/player-for-dvds/9n3p6t331ggr?cid=msft_web_chart
Docs for Google Docs.,$3.99 ,https://www.microsoft.com/en-us/p/docs-for-google-docs/9pcfgc5spgh2?cid=msft_web_chart
Cast to ChromeCast,$2.99 ,https://www.microsoft.com/en-us/p/cast-to-chromecast/9pljhqxpj0n9?cid=msft_web_chart
Office Suite - Powerful editor for Adobe pdf and Microsoft doc docx xls xlsx ppt pptx,$29.99 ,https://www.microsoft.com/en-us/p/office-suite-powerful-editor-for-adobe-pdf-and-microsoft-doc-docx-xls-xlsx-ppt-pptx/9ncpl32wrh6z?cid=msft_web_chart
djay Pro,$49.99 ,https://www.microsoft.com/en-us/p/djay-pro/9nblggh4vm4h?cid=msft_web_chart
Diarium â€” Private Diary / Daily Journal,$5.99 ,https://www.microsoft.com/en-us/p/diarium-private-diary-daily-journal/9nblggh4vzz1?cid=msft_web_chart
Stream for Amazon Prime Video,$9.99 ,https://www.microsoft.com/en-us/p/stream-for-amazon-prime-video/9nxs6nv15c3d?cid=msft_web_chart
iHangout for Google Hangouts,$4.99 ,https://www.microsoft.com/en-us/p/ihangout-for-google-hangouts/9pm2gbdcvs7k?cid=msft_web_chart
Discord Tiles,$0.99 ,https://www.microsoft.com/en-us/p/discord-tiles/9n15k77phmnl?cid=msft_web_chart
Human Anatomy Atlas 2019: Complete 3D Human Body,$24.99 ,https://www.microsoft.com/en-us/p/human-anatomy-atlas-2019-complete-3d-human-body/9ncgktbt3s2q?cid=msft_web_chart
Media Importer,$1.49 ,https://www.microsoft.com/en-us/p/media-importer/9nblggh4stc3?cid=msft_web_chart
Scrble Ink,$6.99 ,https://www.microsoft.com/en-us/p/scrble-ink/9n5cf2mn39lv?cid=msft_web_chart
Screen Mirror to Roku,$2.99 ,https://www.microsoft.com/en-us/p/screen-mirror-to-roku/9n9fvhcqz0jh?cid=msft_web_chart
The Sims 4 Guide by GuideWorlds.com,$1.99 ,https://www.microsoft.com/en-us/p/the-sims-4-guide-by-guideworldscom/9p9f4jq0dfvt?cid=msft_web_chart
OpenOffice - Unofficial,$0.99 ,https://www.microsoft.com/en-us/p/openoffice-unofficial/9n91p8b0dmwn?cid=msft_web_chart
Docs for Google - Documents/ Presentations/ Spreadsheets for Online Docs/ Slides and Sheets,$9.99 ,https://www.microsoft.com/en-us/p/docs-for-google-documents-presentations-spreadsheets-for-online-docs-slides-and-sheets/9pp5kzf4r985?cid=msft_web_chart
Nebo,$9.99 ,https://www.microsoft.com/en-us/p/nebo/9nblggh4nlb0?cid=msft_web_chart
Calendar for Google Calendar.,$2.99 ,https://www.microsoft.com/en-us/p/calendar-for-google-calendar/9phb9lpgjc72?cid=msft_web_chart
Screen Mirror to Chromecast,$2.99 ,https://www.microsoft.com/en-us/p/screen-mirror-to-chromecast/9nbfm07z1r90?cid=msft_web_chart
Connect for GoPro,$3.99 ,https://www.microsoft.com/en-us/p/connect-for-gopro/9p0jn36q9clh?cid=msft_web_chart
MobileSheets,$12.99 ,https://www.microsoft.com/en-us/p/mobilesheets/9nblggh6ct6d?cid=msft_web_chart
Weather Radar Pro,$2.49 ,https://www.microsoft.com/en-us/p/weather-radar-pro/9wzdncrdkwnq?cid=msft_web_chart
X410,$9.99 ,https://www.microsoft.com/en-us/p/x410/9nlp712zmn9q?cid=msft_web_chart
Live Home 3D Pro,$19.99 ,https://www.microsoft.com/en-us/p/live-home-3d-pro/9nfznr0vfclq?cid=msft_web_chart
Home Design 3D,$9.99 ,https://www.microsoft.com/en-us/p/home-design-3d/9nblggh2r5wf?cid=msft_web_chart
Surveil for Arlo,$3.99 ,https://www.microsoft.com/en-us/p/surveil-for-arlo/9nd4124kqvmm?cid=msft_web_chart
Editor for Google Sheets,$2.99 ,https://www.microsoft.com/en-us/p/editor-for-google-sheets/9nnsx9zc8j6k?cid=msft_web_chart
Pictures for Amazon Photos,$2.99 ,https://www.microsoft.com/en-us/p/pictures-for-amazon-photos/9nxdsjpr7nhv?cid=msft_web_chart
Mail (Gmail),$2.99 ,https://www.microsoft.com/en-us/p/mail-gmail/9nd2ph2dx3k9?cid=msft_web_chart
TouchMail,$14.99 ,https://www.microsoft.com/en-us/p/touchmail/9wzdncrfj4p3?cid=msft_web_chart
Pengwin,$9.99 ,https://www.microsoft.com/en-us/p/pengwin/9nv1gv1pxz6p?cid=msft_web_chart
DVD Creator,$4.99 ,https://www.microsoft.com/en-us/p/dvd-creator/9p4s6wj96rf4?cid=msft_web_chart
MyRadar Ad Free,$2.99 ,https://www.microsoft.com/en-us/p/myradar-ad-free/9wzdncrdc354?cid=msft_web_chart
Stream to Sonos,$3.99 ,https://www.microsoft.com/en-us/p/stream-to-sonos/9nld5774hf36?cid=msft_web_chart
Cool File Viewer Pro: Rar/Word/PDF/PPT/Video & Image Opener,$199.99 ,https://www.microsoft.com/en-us/p/cool-file-viewer-pro-rar-word-pdf-ppt-video-image-opener/9p2v524vr6dd?cid=msft_web_chart
Leonardo,$39.99 ,https://www.microsoft.com/en-us/p/leonardo/9nblggh4wr1n?cid=msft_web_chart
Panoramic Landscapes,$0.99 ,https://www.microsoft.com/en-us/p/panoramic-landscapes/9nq9sfdhbxlk?cid=msft_web_chart
WinSCP - SFTP/ FTP/ WebDAV/ SCP and S3 client,$9.99 ,https://www.microsoft.com/en-us/p/winscp-sftp-ftp-webdav-scp-and-s3-client/9p0pq8b65n8x?cid=msft_web_chart
Any Sound Recorder: audio recorder & voice recorder,$0.99 ,https://www.microsoft.com/en-us/p/any-sound-recorder-audio-recorder-voice-recorder/9p48tt74wl5v?cid=msft_web_chart
Droid Transfer,$19.99 ,https://www.microsoft.com/en-us/p/droid-transfer/9p77nqgzmg1c?cid=msft_web_chart
Shotcut,$9.79 ,https://www.microsoft.com/en-us/p/shotcut/9plnffl3p6lr?cid=msft_web_chart
Google Earth PC Guide,$1.99 ,https://www.microsoft.com/en-us/p/google-earth-pc-guide/9n3tq635wmbz?cid=msft_web_chart
Monotype Ceremonial Font Pack,$1.99 ,https://www.microsoft.com/en-us/p/monotype-ceremonial-font-pack/9nd0mgdq2jdd?cid=msft_web_chart
Duplicates Cleaner Prime,$5.29 ,https://www.microsoft.com/en-us/p/duplicates-cleaner-prime/9pntl88w7w0b?cid=msft_web_chart
Mind Maps Pro,$9.99 ,https://www.microsoft.com/en-us/p/mind-maps-pro/9mwz4wtswwp5?cid=msft_web_chart
Essential Anatomy 3,$14.99 ,https://www.microsoft.com/en-us/p/essential-anatomy-3/9wzdncrdsl7j?cid=msft_web_chart
iCloud on PC Guide,$1.99 ,https://www.microsoft.com/en-us/p/icloud-on-pc-guide/9mv2swtwl769?cid=msft_web_chart
Stream to Samsung TV,$2.99 ,https://www.microsoft.com/en-us/p/stream-to-samsung-tv/9n0j4qx946df?cid=msft_web_chart
myTube!,$0.99 ,https://www.microsoft.com/en-us/p/mytube/9wzdncrcwf3l?cid=msft_web_chart
Torrex Pro - Torrent Downloader,$1.99 ,https://www.microsoft.com/en-us/p/torrex-pro-torrent-downloader/9wzdncrdsgkg?cid=msft_web_chart
Affinity Designer,$49.99 ,https://www.microsoft.com/en-us/p/affinity-designer/9nblggh35lrm?cid=msft_web_chart
Calendar for Google Calendar .,$2.99 ,https://www.microsoft.com/en-us/p/calendar-for-google-calendar/9nd9mb5fqc5g?cid=msft_web_chart
AirPlay to Apple TV,$2.99 ,https://www.microsoft.com/en-us/p/airplay-to-apple-tv/9nzb2p8qcq69?cid=msft_web_chart
Screen Mirror to Samsung TV,$2.99 ,https://www.microsoft.com/en-us/p/screen-mirror-to-samsung-tv/9mx3n0hdk6vl?cid=msft_web_chart
Screen Recorder - Record Audio/ Capture/ Edit,$1.99 ,https://www.microsoft.com/en-us/p/screen-recorder-record-audio-capture-edit/9p886m5ljs4x?cid=msft_web_chart
Switch for Roku,$2.99 ,https://www.microsoft.com/en-us/p/switch-for-roku/9pg4t3q5g4h3?cid=msft_web_chart
Recording Studio Pro,$7.99 ,https://www.microsoft.com/en-us/p/recording-studio-pro/9wzdncrdwpmn?cid=msft_web_chart
Affinity Photo,$49.99 ,https://www.microsoft.com/en-us/p/affinity-photo/9nblggh35lxn?cid=msft_web_chart
Play for Google Movies & TV,$9.99 ,https://www.microsoft.com/en-us/p/play-for-google-movies-tv/9nn41qfz9vpm?cid=msft_web_chart
8 Zip Pro - advanced archiver for Zip/ Rar/ 7Zip/ 7z/ ZipX/ Iso/ Cab. Create/ unpack and encrypt.,$1.99 ,https://www.microsoft.com/en-us/p/8-zip-pro-advanced-archiver-for-zip-rar-7zip-7z-zipx-iso-cab-create-unpack-and-encrypt/9wzdncrfhwb8?cid=msft_web_chart
Call for Google Voice,$4.99 ,https://www.microsoft.com/en-us/p/call-for-google-voice/9p3btbt26909?cid=msft_web_chart
Ink Calendar,$4.99 ,https://www.microsoft.com/en-us/p/ink-calendar/9pgpbwm9nfzc?cid=msft_web_chart
WolframAlpha,$2.99 ,https://www.microsoft.com/en-us/p/wolframalpha/9wzdncrdmzkp?cid=msft_web_chart
FalconX (Center Taskbar),$1.09 ,https://www.microsoft.com/en-us/p/falconx-center-taskbar/9pcmz6bxk8gh?cid=msft_web_chart
Editor for Google Slides,$2.99 ,https://www.microsoft.com/en-us/p/editor-for-google-slides/9pd0jgn17dng?cid=msft_web_chart
Garage Band to Logic Pro Course By mPV,$9.99 ,https://www.microsoft.com/en-us/p/garage-band-to-logic-pro-course-by-mpv/9mzzmjqf5rx7?cid=msft_web_chart
Recipe Keeper Pro,$5.99 ,https://www.microsoft.com/en-us/p/recipe-keeper-pro/9wzdncrdknkt?cid=msft_web_chart
Transfer for iPhone,$2.99 ,https://www.microsoft.com/en-us/p/transfer-for-iphone/9n06cqgrmk1p?cid=msft_web_chart
PhotoScape X Pro,$39.99 ,https://www.microsoft.com/en-us/p/photoscape-x-pro/9nblggh511n0?cid=msft_web_chart
Pkpass,$0.99 ,https://www.microsoft.com/en-us/p/pkpass/9nblggh636pv?cid=msft_web_chart
Media Player S PRO,$4.99 ,https://www.microsoft.com/en-us/p/media-player-s-pro/9p2jnfzwb3fg?cid=msft_web_chart
Teleprompter Pro,$8.99 ,https://www.microsoft.com/en-us/p/teleprompter-pro/9wzdncrfjss3?cid=msft_web_chart
PDF Fill & Sign,$2.99 ,https://www.microsoft.com/en-us/p/pdf-fill-sign/9nz2mfpx0x4g?cid=msft_web_chart
Bijoy Bayanno Bangla Typing Software (Windows),Tk 200,https://ryanscomputers.com/bijoy-bayanno-bangla-typing-software.html
Trend Micro Internet Security 1 User 1 Year (Full Pack),Tk 550,https://ryanscomputers.com/trend-micro-internet-security-1-user-1-year-full-pack.html
Panda (Anti-Virus) Internet Security 1 User,Tk 550,https://ryanscomputers.com/panda-anti-virus-internet-security-1-user.html
Bitdefender Internet Security (1 user 1year),Tk 550,https://ryanscomputers.com/bitdefender-internet-security-1-user-1year.html
Kaspersky Anti-Virus 1-User 1 year,Tk 600,https://ryanscomputers.com/kaspersky-anti-virus-1-user-1-year.html
ESET Internet Security 1 User 1 Year,Tk 800,https://ryanscomputers.com/eset-internet-security-1-user-1-year.html
Reve Internet Security 1 User,Tk 899,https://ryanscomputers.com/reve-internet.html
Kaspersky Internet Security 1-User 1 year,Tk 1099,https://ryanscomputers.com/kaspersky-internet-security-1-user-1-year-11462.html
Reve Total Security 1 User,Tk 1450,https://ryanscomputers.com/reve-total-security-1-user.html
Panda (Anti-Virus) Internet Security 3User,Tk 1500,https://ryanscomputers.com/panda-anti-virus-internet-security-3user.html
ESET Internet Security 3 User 1 Year,Tk 1500,https://ryanscomputers.com/eset-internet-security-3-user-1-year.html
Kaspersky Anti-Virus 3-User 1 year,Tk 1599,https://ryanscomputers.com/kaspersky-anti-virus-3-user-1-year.html
Kaspersky Total Security 1-User 1 year,Tk 1600,https://ryanscomputers.com/kaspersky-total-security-1-user-1-year.html
Reve Internet Security 2 User,Tk 1650,https://ryanscomputers.com/reve-internet-security-2-user.html
Kaspersky Internet Security 3-User 1 year,Tk 2199,https://ryanscomputers.com/kaspersky-internet-security-3-user-1-year-11463.html
Reve Internet Security 3 User,Tk 2200,https://ryanscomputers.com/reve-internet-security-3-user.html
Reve Internet Security 5 User,Tk 2600,https://ryanscomputers.com/reve-internet-security-5-user.html
FIFA 19 PS4 Game DVD With Licensy Key,Tk 4000,https://ryanscomputers.com/fifa-19-ps4-game-licensy-key-with-dvd.html
Microsoft Office 365 Personal 32-bit/x64 English Subscr 1YR APAC EM Medialess #QQ2-00570/QQ2-00807,Tk 4800,https://ryanscomputers.com/microsoft-office-365-personal-32-bit-x64-english-subscr-1yr-apac-em-medialess-qq2-00570-qq2-00807.html
Bijoy Ekattor Bangla Typing Software (Mac),Tk 4800,https://ryanscomputers.com/bijoy-ekattor-bangla-typing-software-mac.html
Reve Internet Security 10 User,Tk 4990,https://ryanscomputers.com/reve-internet-security-10-user.html
Microsoft Office 365 Home English APAC EM Subscr (6 User 1 Year Subscription) Medialess P4 #6GQ-00968,Tk 6500,https://ryanscomputers.com/microsoft-office-365-home-english-apac-em-subscr-6-user-1-year-subscription-medialess-p4-6gq-00968.html
Microsoft Windows 10 Home,Tk 9500,https://ryanscomputers.com/microsoft-windows-10-home.html
Microsoft Windows 10 Professional 64 Bit ENG INTL 1PK DSP OEI DVD #FQC-08929,Tk 12200,https://ryanscomputers.com/microsoft-windows-10-professional.html
Microsoft Office Home & Business 2019 (32Bit/64 Bit) English APAC EM DVD #T5D-03249 (Word/ Excel/ PowerPoint/ Onenote/ Outlook),Tk 21000,https://ryanscomputers.com/microsoft-office-home-business-2019-32bit-64-bit-english-apac-em-dvd-t5d-03249-word-excel-powerpoint-onenote-outlook.html
